time,open,high,low,close,"GB03MY, TVC: Open","GB03MY, TVC: High","GB03MY, TVC: Low","GB03MY, TVC: Close"
1987-01-01T22:00:00Z,10.47000027,10.47000027,10.47000027,10.47000027,10.68000031,10.68000031,10.68000031,10.68000031
1987-01-04T22:00:00Z,10.55000019,10.55000019,10.55000019,10.55000019,10.63000011,10.63000011,10.63000011,10.63000011
1987-01-05T22:00:00Z,10.55000019,10.55000019,10.55000019,10.55000019,10.68000031,10.68000031,10.68000031,10.68000031
1987-01-06T22:00:00Z,10.51000023,10.51000023,10.51000023,10.51000023,10.68000031,10.68000031,10.68000031,10.68000031
1987-01-07T22:00:00Z,10.43000031,10.43000031,10.43000031,10.43000031,10.67000008,10.67000008,10.67000008,10.67000008
1987-01-08T22:00:00Z,10.43000031,10.43000031,10.43000031,10.43000031,10.64000034,10.64000034,10.64000034,10.64000034
1987-01-11T22:00:00Z,10.43000031,10.43000031,10.43000031,10.43000031,10.64000034,10.64000034,10.64000034,10.64000034
1987-01-12T22:00:00Z,10.56999969,10.56999969,10.56999969,10.56999969,10.64000034,10.64000034,10.64000034,10.64000034
1987-01-13T22:00:00Z,10.56999969,10.56999969,10.56999969,10.56999969,10.68000031,10.68000031,10.68000031,10.68000031
1987-01-14T22:00:00Z,10.56999969,10.56999969,10.56999969,10.56999969,10.67000008,10.67000008,10.67000008,10.67000008
1987-01-15T22:00:00Z,10.43999958,10.43999958,10.43999958,10.43999958,10.64000034,10.64000034,10.64000034,10.64000034
1987-01-18T22:00:00Z,10.40999985,10.40999985,10.40999985,10.40999985,10.60000038,10.60000038,10.60000038,10.60000038
1987-01-19T22:00:00Z,10.35999966,10.35999966,10.35999966,10.35999966,10.60999966,10.60999966,10.60999966,10.60999966
1987-01-20T22:00:00Z,10.25,10.25,10.25,10.25,10.61999989,10.61999989,10.61999989,10.61999989
1987-01-21T22:00:00Z,10.22999954,10.22999954,10.22999954,10.22999954,10.56999969,10.56999969,10.56999969,10.56999969
1987-01-22T22:00:00Z,10.21000004,10.21000004,10.21000004,10.21000004,10.57999992,10.57999992,10.57999992,10.57999992
1987-01-25T22:00:00Z,10.21000004,10.21000004,10.21000004,10.21000004,10.60000038,10.60000038,10.60000038,10.60000038
1987-01-26T22:00:00Z,10.22999954,10.22999954,10.22999954,10.22999954,10.60999966,10.60999966,10.60999966,10.60999966
1987-01-27T22:00:00Z,10.25,10.25,10.25,10.25,10.61999989,10.61999989,10.61999989,10.61999989
1987-01-28T22:00:00Z,10.25,10.25,10.25,10.25,10.64000034,10.64000034,10.64000034,10.64000034
1987-01-29T22:00:00Z,10.26000023,10.26000023,10.26000023,10.26000023,10.64999962,10.64999962,10.64999962,10.64999962
1987-02-01T22:00:00Z,10.25,10.25,10.25,10.25,10.64999962,10.64999962,10.64999962,10.64999962
1987-02-02T22:00:00Z,10.26000023,10.26000023,10.26000023,10.26000023,10.64000034,10.64000034,10.64000034,10.64000034
1987-02-03T22:00:00Z,10.19999981,10.19999981,10.19999981,10.19999981,10.61999989,10.61999989,10.61999989,10.61999989
1987-02-04T22:00:00Z,10.14000034,10.14000034,10.14000034,10.14000034,10.60000038,10.60000038,10.60000038,10.60000038
1987-02-05T22:00:00Z,10.06000042,10.06000042,10.06000042,10.06000042,10.5,10.5,10.5,10.5
1987-02-08T22:00:00Z,10.03999996,10.03999996,10.03999996,10.03999996,10.56000042,10.56000042,10.56000042,10.56000042
1987-02-09T22:00:00Z,10.07999992,10.07999992,10.07999992,10.07999992,10.57999992,10.57999992,10.57999992,10.57999992
